Channel Code,Display Name,Country,Currency,Min Amount,Max Amount,Settlement Time,Refund,Save,Reusable Payment Code,Merchant Initiated Transaction,Type
VPB,VPBank Virtual Account,VN,VND,"10,000.00","499,999,999.00",T+1 BUSINESS DAYS,-,-,✓,-,BANK TRANSFER
WECHATPAY,WeChat Pay,TH,THB,1,"10,000,000.00",INSTANT,Coming soon,-,-,-,EWALLET
WECHATPAY,WeChat Pay,MY,MYR,0.1,"25,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,EWALLET
WOORI,Woori Virtual Account,VN,VND,"10,000.00","499,999,999.00",T+1 BUSINESS DAYS,-,-,✓,-,BANK TRANSFER
ZALOPAY,ZaloPay,VN,VND,"1,000.00","500,000,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,EWALLET
GOPAY,GoPay,ID,IDR,1,"50,000,000.00",T+1 CALENDAR DAYS*,✓,✓,-,✓,EWALLET
GOPAY_RECURRING,GoPay,ID,IDR,1,"50,000,000.00",T+1 CALENDAR DAYS*,✓,✓,-,✓,EWALLET
BAY_CARD_INSTALLMENT,Krungsri Bank Cards Installment,TH,THB,"3,000.00","700,000.00",T+3 BUSINESS DAYS,✓,-,-,-,CARDS INSTALLMENT
BBL_CARD_INSTALLMENT,Bangkok Bank Cards Installment,TH,THB,"3,000.00","700,000.00",T+3 BUSINESS DAYS,✓,-,-,-,CARDS INSTALLMENT
KBANK_CARD_INSTALLMENT,Kasikornbank Cards Installment,TH,THB,"3,000.00","700,000.00",T+3 BUSINESS DAYS,✓,-,-,-,CARDS INSTALLMENT
KTB_CARD_INSTALLMENT,Krungthai Bank Cards Installment,TH,THB,"3,000.00","700,000.00",T+3 BUSINESS DAYS,✓,-,-,-,CARDS INSTALLMENT
SCB_CARD_INSTALLMENT,Siam Commercial Bank Cards Installment,TH,THB,"3,000.00","700,000.00",T+3 BUSINESS DAYS,✓,-,-,-,CARDS INSTALLMENT
TTB_CARD_INSTALLMENT,TMBThanachart Bank Cards Installment,TH,THB,"3,000.00","700,000.00",T+3 BUSINESS DAYS,✓,-,-,-,CARDS INSTALLMENT
GCASH_LINK_AND_PAY,GCash Link and Pay,PH,PHP,1,100000,T+2 CALENDAR DAYS*,✓,✓,-,✓,EWALLET
SPEI,SPEI,MX,MXN,1,-,INSTANT,-,-,✓,-,BANK TRANSFER
